id,name,parent_id,grandparent_id
923,スタイリング剤,98,7
924,カラーリング剤,98,7
925,ブラシ,98,7
926,その他,98,7
927,オイル/クリーム,99,7
928,ハンドクリーム,99,7
929,ローション,99,7
930,日焼け止め/サンオイル,99,7
931,ボディソープ,99,7
932,入浴剤,99,7
933,制汗/デオドラント,99,7
934,フットケア,99,7
935,その他,99,7
936,口臭防止/エチケット用品,100,7
937,歯ブラシ,100,7
938,その他,100,7
939,エッセンシャルオイル,101,7
940,芳香器,101,7
941,お香/香炉,101,7
942,キャンドル,101,7
943,その他,101,7
944,ダイエット食品,102,7
945,エクササイズ用品,102,7
946,体重計,102,7
947,体脂肪計,102,7
948,その他,102,7
949,健康用品,103,7
950,看護/介護用品,103,7
951,救急/衛生用品,103,7
952,その他,103,7
953,スマートフォン本体,104,8
954,バッテリー/充電器,104,8
955,携帯電話本体,104,8
956,PHS本体,104,8
957,その他,104,8
958,Android用ケース,105,8
959,iPhone用ケース,105,8
960,カバー,105,8
961,イヤホンジャック,105,8
962,ストラップ,105,8
963,フィルム,105,8
964,自撮り棒,105,8
965,その他,105,8
966,タブレット,106,8
967,ノートPC,106,8
968,デスクトップ型PC,106,8
969,ディスプレイ,106,8
970,電子ブックリーダー,106,8
971,PC周辺機器,106,8
972,PCパーツ,106,8
973,その他,106,8
974,デジタルカメラ,107,8
975,ビデオカメラ,107,8
976,レンズ(単焦点),107,8
977,レンズ(ズーム),107,8
978,フィルムカメラ,107,8
979,防犯カメラ,107,8
980,その他,107,8
981,テレビ,108,8
982,プロジェクター,108,8
983,ブルーレイレコーダー,108,8
984,DVDレコーダー,108,8
985,ブルーレイプレーヤー,108,8
986,DVDプレーヤー,108,8
987,映像用ケーブル,108,8
988,その他,108,8
989,ポータブルプレーヤー,109,8
990,イヤフォン,109,8
991,ヘッドフォン,109,8
992,アンプ,109,8
993,スピーカー,109,8
994,ケーブル/シールド,109,8
995,ラジオ,109,8
996,その他,109,8
997,ヘアドライヤー,110,8
998,ヘアアイロン,110,8
999,美容機器,110,8
1000,マッサージ機,110,8
1001,電気シェーバー,110,8
1002,電動歯ブラシ,110,8
1003,その他,110,8
1004,エアコン,111,8
1005,空気清浄器,111,8
1006,加湿器,111,8
1007,扇風機,111,8
1008,除湿機,111,8
1009,ファンヒーター,111,8
1010,電気ヒーター,111,8
1011,オイルヒーター,111,8
1012,ストーブ,111,8
1013,ホットカーペット,111,8
1014,こたつ,111,8
1015,電気毛布,111,8
1016,その他,111,8
1017,冷蔵庫,112,8
1018,洗濯機,112,8
1019,炊飯器,112,8
1020,電子レンジ/オーブン,112,8
1021,調理機器,112,8
1022,アイロン,112,8
1023,掃除機,112,8
1024,エスプレッソマシン,112,8
1025,コーヒーメーカー,112,8
1026,衣類乾燥機,112,8
1027,その他,112,8
1028,その他,113,8
1029,クラブ,114,9
1030,ウエア(男性用),114,9
1031,ウエア(女性用),114,9
1032,バッグ,114,9
1033,シューズ(男性用),114,9
1034,シューズ(女性用),114,9
1035,アクセサリー,114,9
1036,その他,114,9
1037,ロッド,115,9
1038,リール,115,9
1039,ルアー用品,115,9
1040,ウエア,115,9
1041,釣り糸/ライン,115,9
1042,その他,115,9
1043,自転車本体,116,9
1044,ウエア,116,9
1045,パーツ,116,9
1046,アクセサリー,116,9
1047,バッグ,116,9
1048,工具/メンテナンス,116,9
1049,その他,116,9
1050,ランニング,117,9
